CntName,Criteria,Type,Coverage,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Latvia,Residence,Emigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16512,12828,12333,8874,5898,22911,24539,15836,15647,20167,17643,17019,15463,27045,38208,39651,30311,25163,22561
Latvia,Residence,Immigrants,Both,..,..,..,..,..,..,..,..,..,..,32285,14684,6199,4114,3046,2799,2747,2913,3123,1813,6483,5376,6642,4063,4844,6691,8212,7517,4678,3731,4011,10234,13303,8299
Liechtenstein,Citizenship,Emigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,186,207,223,236
Liechtenstein,Citizenship,Emigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,242,260,216,261
Liechtenstein,Residence,Emigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1369,..,..,..,..,..,..,..,..,..,..,428,467,439,497
Liechtenstein,Residence,Immigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2679,..,..,..,..,..,..,..,..,578,584,591,650,671,696
Lithuania,Citizenship,Emigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1221,850,2023,24014,13129,22822,35279,54571,29678,27592,21793,33522,79315,51505,38479,35492
Lithuania,Citizenship,Emigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,909,519,593,3827,3590,3461,2412,3314,2712,2791,3957,4978,3842,2358,2621,3326
Lithuania,Citizenship,Immigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1178,1035,841,714,809,1313,3397,4705,5508,6141,6337,4821,4153,14012,17357,18975
Lithuania,Citizenship,Immigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1528,1644,669,3980,4301,3415,2156,2084,2237,2468,2960,1666,1060,1673,2486,3036
Lithuania,Residence,Emigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2130,1369,2616,27841,16719,26283,37691,57885,32390,30383,25750,38500,83157,53863,41100,38818
Lithuania,Residence,Immigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,6640,2850,1664,2020,3025,2536,2706,2679,1510,4694,5110,4728,5553,6789,7745,8609,9297,6487,5213,15685,19843,22011
Luxembourg,Citizenship,Emigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,858,1172,1096,1199,1183,886,983,1117,1323,2033,2100,1848,1651,1793,1844,1817
Luxembourg,Citizenship,Emigrants,Foreigners,5537,5982,6209,5726,4826,5310,4957,4351,4555,4625,4694,5015,4725,4059,4398,4082,4583,4770,6716,6903,7025,7625,8269,6860,7497,7170,7678,8641,7958,7320,7651,7471,8598,8933
Luxembourg,Citizenship,Immigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1025,1018,973,1080,1113,604,627,638,621,909,957,1116,1148,1160,1039,1301
Luxembourg,Citizenship,Immigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10472,11032,11220,11605,11422,12510,12494,13962,14039,16338,17412,15537,16701,20057,20209,20836
Luxembourg,Residence,Emigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7574,8075,8121,8824,9452,7746,8480,8287,9001,10674,10058,9168,9302,9264,10442,10750
Luxembourg,Residence,Immigrants,Both,5080,5336,5367,5427,5340,6582,7448,8248,9064,9143,10281,10913,10696,9857,10030,10325,10027,..,11630,12794,11765,12135,12101,13158,12872,14397,14352,16675,17758,15751,16962,20268,20478,21098
Malta,Citizenship,Emigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1079,1350,1296,1383,1340,1359,1098,1333
Malta,Citizenship,Emigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,829,3679,2423,2485,2861,2447,2907,3871
Malta,Residence,Emigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,121,67,67,..,96,..,..,..,1908,5029,3719,3868,4201,3806,4005,5204
Malta,Residence,Immigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,937,349,339,22,162,..,..,..,..,1829,6730,6043,6161,4275,5465,7111,8428
Netherlands,Citizenship,Emigrants,Citizens,36423,38636,40625,33510,32603,32297,32847,32862,35888,40845,39059,38888,38680,40584,42807,48500,49546,47554,39175,38358,40474,42921,45571,47015,51500,59415,64552,62250,59364,52817,51872,57155,56181,57090
Netherlands,Citizenship,Emigrants,Foreigners,24081,25674,29680,28845,27791,25972,26497,27660,27696,30675,29248,31144,34386,33541,35846,33670,41672,33913,21266,20665,20727,20397,21157,21870,23549,23984,26476,29037,30703,40008,44098,47046,54250,55535
Netherlands,Citizenship,Immigrants,Citizens,32684,29767,29810,30321,29616,33196,34585,35080,32976,33529,36086,35912,33904,31581,30887,29128,31572,33124,40706,40786,41467,38897,34631,30948,28898,28882,33493,36561,40160,36992,38019,37762,36377,36319
Netherlands,Citizenship,Immigrants,Foreigners,74606,46714,37852,34843,35046,43414,49225,60027,57291,63993,79373,81156,77782,83126,65964,65594,76537,76285,81701,78365,91383,94507,86619,73566,65121,63415,67657,80258,103356,85925,88757,92356,88189,93109
Netherlands,Residence,Emigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60441,59023,61201,63318,66728,68885,75049,83399,91028,91287,90067,..,..,..,110431,112625
Netherlands,Residence,Immigrants,Both,112504,80183,70740,66762,66907,79362,87387,95935,91238,98914,117350,120249,116926,119154,92143,96099,108749,109860,122407,119151,132850,133404,121250,104514,94019,92297,101150,116819,143516,122917,126776,130118,124566,129428
New Zealand,Citizenship,Emigrants,Citizens,53348,48952,37588,24941,30331,43894,50093,49019,58017,49670,35959,30603,30808,30440,34008,37418,40743,44273,48273,53215,58680,56031,42112,38859,43190,49201,47616,55645,60602,41558,..,..,..,..
New Zealand,Citizenship,Emigrants,Foreigners,15434,12728,9535,8879,9777,10771,10212,10555,12638,11809,11477,13366,12630,10600,10472,11625,13414,15704,16137,15486,15534,15242,15531,18766,21969,22561,20320,21270,22844,23419,..,..,..,..
New Zealand,Citizenship,Immigrants,Citizens,24500,24755,25389,24304,20156,18511,21558,24539,21518,24321,28981,24596,22108,22584,23122,23363,22830,22145,21299,22551,20763,23465,25417,27691,25069,24165,24018,22969,23553,26084,..,..,..,..
New Zealand,Citizenship,Immigrants,Foreigners,20702,20241,20246,17708,16886,16876,20062,23817,24813,24718,26856,24673,24087,32369,40660,53342,55528,45283,36869,36822,42183,57624,70581,65065,55577,54996,58874,59741,64083,60504,..,..,..,..
New Zealand,Residence,Emigrants,Foreigners,68849,61768,47217,33871,40194,54737,60381,59633,70725,61535,47514,44181,43504,41096,44525,49077,54212,60012,64485,68772,74306,71368,57753,57754,65371,71992,68123,77081,83649,65157,72018,86042,86420,71497
New Zealand,Residence,Immigrants,Foreigners,45256,45036,45675,42156,37053,35395,41629,48373,46529,49260,56482,50578,48144,55081,64382,77563,79005,67636,58220,59743,62994,81094,95951,92660,80479,78963,82732,82572,87463,86410,82469,84187,85255,93965
Norway,Citizenship,Emigrants,Citizens,7417,7270,7510,7823,8310,8108,8321,8789,10501,16737,14016,9881,8744,8452,9892,10320,10558,11223,10876,10152,11923,11093,..,..,9415,9081,9563,8798,6567,7675,9678,8750,8171,8712
Norway,Citizenship,Emigrants,Foreigners,7160,7152,7119,7861,7546,7427,8358,8506,9081,10428,9264,7865,7338,9256,8662,8728,9874,9927,12005,12690,14931,15216,22948,24672,13856,12628,12490,13324,6409,9397,16157,11599,14522,17811
Norway,Citizenship,Immigrants,Citizens,6943,6637,6478,6973,6851,6952,7662,7356,6923,7463,9800,10209,9581,9416,9044,9196,9211,9931,9957,9611,8757,8852,9334,9170,8618,8793,8351,8276,6436,7303,9591,7618,6704,7006
Norway,Citizenship,Immigrants,Foreigners,11668,12881,13815,12914,12680,14691,16316,22937,22137,17254,14528,14470,14436,20464,17072,15855,16997,21794,26747,32230,27785,25411,30788,26787,27864,31355,37425,53498,51687,48650,59623,62719,63204,61307
Norway,Residence,Emigrants,Both,14705,14522,14728,15778,15927,15630,16745,17380,19821,27300,23784,18238,16801,18903,19475,19312,20590,21257,22881,22842,26854,..,22948,24672,23271,21709,22053,22122,12976,17072,25835,20349,22693,26523
Norway,Residence,Immigrants,Both,18776,19698,20468,20063,19688,21858,24196,31149,29964,25847,25494,26283,26743,31711,26911,25678,26407,31957,36704,41841,36493,34264,40122,35957,36482,40148,45776,61774,58123,55953,69214,70337,69908,68313
Poland,Citizenship,Emigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21041,21507,26978,23330,24510,20796,18782,22174,46745,35301,67329,178915,169527,214758,206693,226969
Poland,Citizenship,Emigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72,29,21,38,22,17,95,68,191,179,7009,50405,48599,51040,68910,49477
Poland,Citizenship,Immigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6920,7052,6921,6270,6328,6548,8253,8228,8978,13384,35891,142348,107378,101945,135910,131431
Poland,Citizenship,Immigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1612,473,410,355,259,500,1242,1136,1824,1611,11989,46818,47753,55114,81636,88880
Poland,Residence,Emigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22177,21536,26999,23368,24532,20813,18877,22242,46936,35480,74338,229320,218126,265798,275603,276446
Poland,Residence,Immigrants,Both,..,..,..,..,..,..,..,..,..,..,2626,5040,6515,5924,..,..,..,..,8532,7525,7331,6625,6587,7048,9495,9364,10802,14995,15379,189166,155131,157059,217546,220311
Portugal,Citizenship,Emigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18372,14138,21796,41443,49458,50835
Portugal,Citizenship,Emigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11100,14040,10660,9800,9300,8900,10680,10800,12700,26800,1985,2761,1964,2555,2500,2951
Portugal,Citizenship,Immigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9586,17883,19222,11872,9334,12156
Portugal,Citizenship,Immigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,13735,9852,5653,5025,3644,2563,43100,52040,57660,74800,79300,72400,57920,49200,38800,46300,20132,14424,8353,7795,5272,5398
Portugal,Residence,Emigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11100,14040,10660,9800,9300,8900,10680,10800,12700,26800,20357,16899,23760,43998,51958,53786
Portugal,Residence,Immigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,13735,9852,5653,5025,3644,3298,43100,52040,57660,74800,79300,72400,57920,49200,38800,46300,29718,32307,27575,19667,14606,17554
Republic of Moldova,Citizenship,Immigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,1764,1538,1334,1552,1457,1504,1513,1314,1291,1294,1616,1701,2053,1966,2066,2745,2002,2503,..,..,..
Republic of Moldova,Residence,Emigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6685,7172,..,..,..,..,..,..
Republic of Moldova,Residence,Immigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1968,2070,..,..,..,..,..,..
Romania,Citizenship,Emigrants,Citizens,..,..,..,..,..,..,..,..,..,..,23888,19307,18104,8814,10146,18706,16767,16883,15202,11283,13438,9023,7465,9886,11890,10301,13296,8589,300465,245127,196550,194090,169200,154374
Romania,Citizenship,Emigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,73041,24853,13048,9632,7000,6969,4759,3062,2334,1311,1315,898,689,787,1192,637,901,241,2331,1499,1435,1461,986,7381
Romania,Citizenship,Immigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,126757,124936,136799,138397,155613,138923
Romania,Citizenship,Immigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12172,10908,13086,9288,11653,14723
Romania,Residence,Emigrants,Both,..,..,..,..,..,..,..,..,..,..,96929,44160,31152,18446,17146,25675,21526,19945,17536,12594,14753,12738,10814,12744,16052,13297,16672,11999,302796,246626,197985,195551,170186,161755
Romania,Residence,Immigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,878,4458,2053,6600,11907,10078,11024,10350,6582,3266,2987,3704,7714,9575,138929,8606,149885,147685,167266,153646
Russian Federation,Citizenship,Emigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,66820,51791,45071,..,..,..,..,..,..
Russian Federation,Citizenship,Emigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2978,2270,1943,..,..,..,..,..,..
Russian Federation,Citizenship,Immigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,166325,108767,106323,162646,170137,218387,224986,..,..,..,..,..
Russian Federation,Citizenship,Immigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20061,19894,13114,14584,16243,68583,53305,..,..,..,..,..
Russian Federation,Residence,Emigrants,Both,..,..,..,..,..,..,..,..,..,..,..,675497,673143,483028,337121,339600,288048,232987,213377,214963,145720,121166,106685,94018,79795,69798,54061,47013,39508,32458,33577,..,..,..
Russian Federation,Residence,Immigrants,Both,..,..,..,..,..,..,..,..,..,..,..,692238,926020,923280,1146735,842050,631592,597651,513551,379726,359330,193450,184612,129144,119157,178981,188308,291675,281614,279907,191656,..,..,..
Slovakia,Citizenship,Emigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,851,1341,1166,1523,1704,1560,1574,1547,1432,1512,1703,1923,2732
Slovakia,Citizenship,Emigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,746,618,811,160,70,3611,5002,1080,1524,1996,3310,3321,2935,160,80,38
Slovakia,Citizenship,Immigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1492,1854,1989,2471,1745,1302,1417,1350,1205,1111,1078,2479,2674
Slovakia,Citizenship,Immigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2052,2072,2274,531,458,4562,7919,7665,11309,14848,16470,14438,12659,3751,2940,2475
Slovakia,Residence,Emigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,7355,154,213,222,572,746,618,811,1011,1411,4777,6525,2784,3084,3570,4857,4753,4447,1863,2003,2770
Slovakia,Residence,Immigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,9109,4923,3055,2477,2303,2052,2072,2274,2023,2312,6551,10390,9410,12611,16265,17820,15643,13770,4829,5419,5149
Slovenia,Citizenship,Emigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,803,807,705,963,1559,1442,2624,1887,2265,2077,2703,3178,4766,3717,3905,4679,8191,7789
Slovenia,Citizenship,Emigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1601,3231,6003,1643,2011,3369,4645,3980,6004,6528,11046,11765,7343,15071,12032,7345,6187,5595
Slovenia,Citizenship,Immigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1500,1093,857,1362,935,1030,1432,1268,1574,1747,1765,1689,2631,2903,2711,3318,2741,2250
Slovenia,Citizenship,Immigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6414,4666,3746,3579,5250,6773,7702,8011,8597,13294,18251,27504,28062,27393,12705,10765,12281,11621
Slovenia,Residence,Emigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6708,2606,3570,4811,7269,5867,8269,8605,13749,14943,12109,18788,15937,12024,14378,13384
Slovenia,Residence,Immigrants,Both,..,..,..,..,..,..,..,..,..,..,7075,5989,3461,2745,1919,5879,9495,7889,4603,4941,6185,7803,9134,9279,10171,15041,20016,29193,30693,30296,15416,14083,15022,13871
Spain,Citizenship,Emigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29674,36646,13156,19290,22042,28091,33506,35989,40157,55473,57266,73329
Spain,Citizenship,Emigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6931,27652,41936,48721,120254,198974,254926,344132,363220,353561,389340,458974
Spain,Citizenship,Immigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24032,28243,31587,20724,40175,79543,38717,36573,37873,37732,31710,27602,30425,35450,31571,32422
Spain,Citizenship,Immigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,57195,99122,330881,394048,443085,592723,645844,682711,802971,920534,567365,365360,330280,335881,272482,248350
Spain,Residence,Emigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36605,64298,55092,68011,142296,227065,288432,380121,403377,409034,446606,532303
Spain,Residence,Immigrants,Both,20859,9401,15969,17477,17205,20103,14088,16863,24380,33910,33966,24320,38882,33026,34123,36092,29895,57877,81227,127365,362468,414772,483260,672266,684561,719284,840844,958266,599075,392962,360705,371331,304053,280772
Sweden,Citizenship,Emigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24381,22123,21515,19439,18813,19889,20565,22266,24875,24990,26052,20883,26792,27506,25116,26112
Sweden,Citizenship,Emigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14137,13582,12576,12702,14196,15134,16021,15852,20033,20428,19242,18357,22061,23673,26631,24603
Sweden,Citizenship,Immigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13690,15266,16030,16678,16484,15807,14448,13932,15352,15949,17853,18517,19765,20615,20462,20484
Sweden,Citizenship,Immigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35701,34573,42629,44117,47603,47988,47580,51297,80398,83536,83318,83763,79036,75852,82597,95361
Sweden,Residence,Emigrants,Both,31066,29440,28381,25269,22825,22036,24495,20673,21461,21484,25196,24745,25726,29874,32661,33984,33884,38543,38518,35705,34091,32141,33009,35023,36586,38118,44908,45418,45294,39259,48890,51224,51815,50769
Sweden,Residence,Immigrants,Both,39426,32272,30381,27495,31486,33127,39487,42666,51092,65866,60048,49731,45348,61872,83598,45887,39895,44818,49391,49839,58659,60795,64087,63795,62028,65229,95750,99485,101171,102280,98801,96467,103059,115845
Switzerland,Citizenship,Emigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,29890,30672,27489,29639,30152,31449,30641,30761,29024,30776,25757,..,..,26776,27655,30479,29487,27864,26800,26311,29756,30026,28489
Switzerland,Citizenship,Emigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,65926,77836,69944,62637,64076,67273,64265,64017,62780,59302,56478,78425,76756,52950,54435,57739,60688,58266,59236,70528,66738,73855,77707
Switzerland,Citizenship,Immigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,31673,25299,22083,22538,23010,23232,22083,23753,24276,26102,24331,22326,20971,19354,19179,20409,21779,22668,22354,22283,24104,24006,26054
Switzerland,Citizenship,Immigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,97572,91306,88250,86975,76956,64938,62700,72202,83677,84200,98163,103754,98812,100834,99091,107177,143855,161629,138269,139495,124695,125045,134103
Switzerland,Residence,Emigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,91804,..,..,..,..,79726,82090,88218,90175,..,..,..,..,103881,106196
Switzerland,Residence,Immigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,113696,..,..,95955,107953,..,..,126080,119783,120188,..,127586,165634,..,..,..,148799,149051,160157
The former Yugoslav Republic of Macedonia,Citizenship,Emigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,146,309,..,..,600,1277,1061,224,733,..,..,1141,1330,..
The former Yugoslav Republic of Macedonia,Citizenship,Emigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16,3,..,..,69,23,47,16,18,..,..,149,85,..
The former Yugoslav Republic of Macedonia,Residence,Emigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,165,..,..,..,669,1300,1108,240,751,..,..,1290,1415,..
The former Yugoslav Republic of Macedonia,Residence,Immigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,850,..,..,..,639,458,2259,..,1718,2671,2244,1320,..,..,..,1464,1715,..
Ukraine,Citizenship,Emigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84955,77656,68050,57554,41068,31963,27245,..,..,..,..,..,..,..
Ukraine,Citizenship,Emigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12740,9694,7470,5679,3847,2733,2513,..,..,..,..,..,..,..
Ukraine,Citizenship,Immigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31357,26416,25272,21660,20054,21530,20699,..,..,..,..,..,..,..
Ukraine,Citizenship,Immigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22355,19349,17201,17829,18513,18050,23528,..,..,..,..,..,..,..
Ukraine,Residence,Emigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100325,88804,76264,63699,46182,34997,29982,..,..,..,..,..,..,..
Ukraine,Residence,Immigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53712,45765,42473,39489,38567,39580,44227,..,..,..,..,..,..,..
United Kingdom of Great Britain and Northern Ireland,Citizenship,Emigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,114862,140819,134082,..,..,183146,174270,196080,159339,172576,139805,136002,148729,142711,133576
United Kingdom of Great Britain and Northern Ireland,Citizenship,Emigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,198934,130478,136744,117287,305931,313960,127243,154138,173390,158248,254631,228372,203304,201974,178506,183358
United Kingdom of Great Britain and Northern Ireland,Citizenship,Immigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,115574,103902,105976,94430,106017,85460,89067,77306,71424,85081,95970,93321,78430,80196,76136
United Kingdom of Great Britain and Northern Ireland,Citizenship,Immigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,110000,93000,86000,109000,84000,94000,90000,332390,238503,260465,266230,291471,325470,432637,407403,451702,455290,505161,470544,497629,487614,417844,449910
United Kingdom of Great Britain and Northern Ireland,Residence,Emigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,198934,245340,..,..,305931,313960,310389,328408,369470,317587,427207,368177,339306,350703,321217,316934
United Kingdom of Great Britain and Northern Ireland,Residence,Immigrants,Both,173000,153000,201000,202000,201000,232000,250000,211000,216000,250000,267000,267000,216000,209000,253000,245000,258000,285000,332390,354077,364370,372205,385901,431487,518097,496469,529008,526714,590242,566514,590950,566044,498040,526046
United States of America,Place of birth,Immigrants,Foreigners,530639,596600,594131,559763,543903,570009,601708,601516,643025,1090924,1536483,1827167,973975,904292,804416,720459,915560,797847,653206,644787,841002,1058902,1059356,703542,957883,1122257,1266129,1052415,1107126,1130818,1042625,1062040,1031631,990553
